timestamp,fps,sim_ms,render_ms,grid,voxels,res,gl,skip
24912.71,46.3,19.39,2.13,384,56623104,FULL,VK,1
24913.21,55.0,16.02,2.06,384,56623104,FULL,VK,1
24913.72,56.2,15.50,2.21,384,56623104,FULL,VK,1
24914.22,47.4,18.89,2.09,384,56623104,FULL,VK,1
24914.73,47.1,18.92,2.22,384,56623104,FULL,VK,1
24915.25,46.9,19.30,1.91,384,56623104,FULL,VK,1
24915.77,47.2,19.14,1.93,384,56623104,FULL,VK,1
24916.27,54.1,15.97,2.40,384,56623104,FULL,VK,1
24916.78,53.3,16.67,1.98,384,56623104,FULL,VK,1
24917.30,45.0,19.80,2.33,384,56623104,FULL,VK,1
24917.82,53.0,16.42,2.36,384,56623104,FULL,VK,1
24918.32,45.6,19.61,2.21,384,56623104,FULL,VK,1
24918.83,52.1,16.29,2.81,384,56623104,FULL,VK,1
24919.34,52.3,16.63,2.39,384,56623104,FULL,VK,1
24919.84,44.8,19.34,2.88,384,56623104,FULL,VK,1
24920.35,54.6,15.69,2.53,384,56623104,FULL,VK,1
24920.86,53.9,15.93,2.52,384,56623104,FULL,VK,1
24921.37,47.0,18.93,2.26,384,56623104,FULL,VK,1
24921.87,48.5,18.47,2.05,384,56623104,FULL,VK,1
24922.38,48.6,18.53,1.96,384,56623104,FULL,VK,1
24922.88,47.7,18.97,1.92,384,56623104,FULL,VK,1
24923.39,47.6,18.35,2.56,384,56623104,FULL,VK,1
24923.90,46.0,19.34,2.30,384,56623104,FULL,VK,1
24924.43,45.8,19.59,2.17,384,56623104,FULL,VK,1
24924.95,46.8,19.11,2.18,384,56623104,FULL,VK,1
24925.47,46.5,18.70,2.70,384,56623104,FULL,VK,1
24925.97,55.1,15.70,2.35,384,56623104,FULL,VK,1
24926.47,56.6,15.25,2.32,384,56623104,FULL,VK,1
24926.99,57.3,15.18,2.19,384,56623104,FULL,VK,1
24927.50,55.1,15.68,2.37,384,56623104,FULL,VK,1
24928.02,55.7,15.69,2.16,384,56623104,FULL,VK,1
24928.52,47.8,18.62,2.18,384,56623104,FULL,VK,1
24929.03,48.2,18.44,2.21,384,56623104,FULL,VK,1
24929.55,47.6,18.33,2.56,384,56623104,FULL,VK,1
24930.06,46.7,18.68,2.66,384,56623104,FULL,VK,1
24930.58,46.9,18.63,2.58,384,56623104,FULL,VK,1
24931.09,46.7,18.94,2.36,384,56623104,FULL,VK,1
24931.61,48.1,18.18,2.50,384,56623104,FULL,VK,1
24932.11,47.4,18.72,2.30,384,56623104,FULL,VK,1
24932.63,47.8,18.38,2.45,384,56623104,FULL,VK,1
24933.14,46.8,18.94,2.34,384,56623104,FULL,VK,1
24933.66,48.5,17.95,2.55,384,56623104,FULL,VK,1
24934.17,46.9,18.69,2.52,384,56623104,FULL,VK,1
24934.67,49.1,17.88,2.38,384,56623104,FULL,VK,1
24935.18,59.3,14.94,1.84,384,56623104,FULL,VK,1
24935.69,56.6,15.73,1.83,384,56623104,FULL,VK,1
24936.20,54.9,15.94,2.18,384,56623104,FULL,VK,1
24936.71,53.7,16.35,2.16,384,56623104,FULL,VK,1
24937.21,52.3,17.00,2.03,384,56623104,FULL,VK,1
24937.73,44.2,20.40,2.10,384,56623104,FULL,VK,1
24938.23,44.7,20.14,2.12,384,56623104,FULL,VK,1
24938.73,42.2,21.26,2.36,384,56623104,FULL,VK,1
24939.24,42.4,20.61,2.85,384,56623104,FULL,VK,1
24939.76,42.5,20.76,2.64,384,56623104,FULL,VK,1
24940.27,43.9,20.32,2.36,384,56623104,FULL,VK,1
24940.77,43.7,20.23,2.54,384,56623104,FULL,VK,1
24941.29,52.7,16.64,2.22,384,56623104,FULL,VK,1
24941.79,52.7,15.95,2.93,384,56623104,FULL,VK,1
24942.30,55.7,15.71,2.14,384,56623104,FULL,VK,1
24942.82,56.5,15.51,2.09,384,56623104,FULL,VK,1
24943.33,58.3,15.02,2.03,384,56623104,FULL,VK,1
24943.84,48.8,18.16,2.25,384,56623104,FULL,VK,1
24944.34,60.1,14.53,2.00,384,56623104,FULL,VK,1
24944.86,51.3,17.21,2.19,384,56623104,FULL,VK,1
24945.37,61.4,14.05,2.15,384,56623104,FULL,VK,1
24945.88,60.4,14.47,1.99,384,56623104,FULL,VK,1
24946.39,50.4,17.71,2.02,384,56623104,FULL,VK,1
24946.90,61.1,14.24,2.02,384,56623104,FULL,VK,1
24947.42,61.2,14.24,1.99,384,56623104,FULL,VK,1
24947.93,51.8,16.77,2.42,384,56623104,FULL,VK,1
24948.44,60.2,14.47,2.04,384,56623104,FULL,VK,1
24948.94,50.2,17.84,1.98,384,56623104,FULL,VK,1
24949.44,60.6,14.52,1.90,384,56623104,FULL,VK,1
24949.96,50.3,17.84,1.95,384,56623104,FULL,VK,1
24950.47,60.5,14.44,2.00,384,56623104,FULL,VK,1
24950.97,51.6,17.03,2.24,384,56623104,FULL,VK,1
24951.49,64.1,13.33,2.16,384,56623104,FULL,VK,1
24951.99,50.3,17.57,2.22,384,56623104,FULL,VK,1
24952.50,56.9,14.55,2.92,384,56623104,FULL,VK,1
24953.01,59.7,14.52,2.14,384,56623104,FULL,VK,1
24953.52,50.5,17.21,2.48,384,56623104,FULL,VK,1
24954.03,59.4,14.69,2.05,384,56623104,FULL,VK,1
24954.54,49.5,17.46,2.63,384,56623104,FULL,VK,1
24955.05,59.2,14.72,2.07,384,56623104,FULL,VK,1
24955.56,58.1,15.08,2.05,384,56623104,FULL,VK,1
24956.06,57.3,15.35,2.00,384,56623104,FULL,VK,1
24956.57,57.0,15.40,2.04,384,56623104,FULL,VK,1
24957.08,56.6,15.12,2.45,384,56623104,FULL,VK,1
24957.58,57.6,15.16,2.10,384,56623104,FULL,VK,1
24958.08,56.0,15.28,2.46,384,56623104,FULL,VK,1
24958.60,48.5,18.24,2.27,384,56623104,FULL,VK,1
24959.12,55.9,15.06,2.73,384,56623104,FULL,VK,1
24959.64,56.3,15.62,2.03,384,56623104,FULL,VK,1
24960.15,49.2,18.15,2.09,384,56623104,FULL,VK,1
24960.66,58.6,14.74,2.23,384,56623104,FULL,VK,1
24961.17,58.0,15.18,1.97,384,56623104,FULL,VK,1
24961.68,56.2,15.48,2.20,384,56623104,FULL,VK,1
24962.19,54.7,15.84,2.33,384,56623104,FULL,VK,1
24962.69,54.9,16.14,1.96,384,56623104,FULL,VK,1
24963.20,47.2,18.84,2.23,384,56623104,FULL,VK,1
24963.72,47.6,18.86,2.06,384,56623104,FULL,VK,1
24964.24,47.6,18.79,2.13,384,56623104,FULL,VK,1
24964.75,48.0,18.61,2.12,384,56623104,FULL,VK,1
24965.25,49.4,18.12,2.03,384,56623104,FULL,VK,1
24965.76,60.3,14.45,2.03,384,56623104,FULL,VK,1
24966.28,50.0,17.88,2.00,384,56623104,FULL,VK,1
24966.79,62.6,13.83,2.04,384,56623104,FULL,VK,1
24967.30,60.3,14.46,2.02,384,56623104,FULL,VK,1
